wellName,datasetName,MD,GR,INCL,Mobility,NPHI,Pressure,Remarks,RHOB,RT,STATUS
,,m,api,dega,mD/cP,ft3/ft3,psi,,g/cm3,ohm.m,
BEKOK DEEP-1RDR1,LQC_Pretest,627.78,51.4365234375,0.25392480392923,66.1100006103516,0.396810290623152,888.119995117188,"Pressure close to stabilization. Microleaks observed, followed by build down. Reached station time limit.",2.00950810617603,1.59677527843251,Unstabilized
BEKOK DEEP-1RDR1,LQC_Pretest,629.5,51.1569290161133,0.245492594893145,86.4000015258789,0.472882622385221,887.440002441406,Pressure stabilized.,1.97933760921766,1.56901827306024,Valid Test
BEKOK DEEP-1RDR1,LQC_Pretest,634.52,57.1177711486816,0.206202638785441,323.089996337891,0.401868128169029,893.390014648438,Pressure stabilized.,2.01955664960592,1.63047908972521,Valid Test
BEKOK DEEP-1RDR1,LQC_Pretest,638.39,54.3365058898926,0.175848264804686,214.570007324219,0.413851733519548,902.869995117188,Pressure close to stabilization. Build down observed. Reached station time limit.,2.00795138117048,1.58288032725317,Unstabilized
BEKOK DEEP-1RDR1,LQC_Pretest,635.01,60.6478233337402,0.20234139962991,269,0.449094960669386,895.830017089844,Pressure close to stabilization. Build down observed. Reached station time limit.,2.01675967943245,1.60451560217966,Unstabilized
BEKOK DEEP-1RDR1,LQC_Pretest,696.6,74.8127746582031,0.032655412712173,1.53999996185303,0.376877093738793,992.049987792969,Pressure stabilized (low mobility),1.96517824009427,3.07597623305108,Valid Test
BEKOK DEEP-1RDR1,LQC_Pretest,705.04,83.0512084960938,0.0357400334902312,14.1300001144409,0.42221314025629,996.549987792969,Pressure stabilized. Fluid ID= Gas + OBM filtrate. 1sample (MPSR #1477),2.07882131087461,3.10242884165374,Valid Test
BEKOK DEEP-1RDR1,LQC_Pretest,711.82,68.9076995849609,0.0387480016462636,310.820007324219,0.384268059086652,1004.02001953125,Pressure stabilized,2.07230057198903,2.07631130251998,Valid Test
BEKOK DEEP-1RDR1,LQC_Pretest,731.52,51.7744178771973,0.054828925014263,801.099975585938,0.435870697990156,1032.26000976563,Pressure stabilized,2.03680277538416,1.71536331191939,Valid Test
BEKOK DEEP-1RDR1,LQC_Pretest,740.13,65.8593292236328,0.064013346260229,51.4799995422363,0.44279644504562,1044.41003417969,Preessure stabilized,2.12762731517347,2.02282748142767,Valid Test
